,track_id,lat,lon,speed,lon_acc,lat_acc,time,type,traveled_d,avg_speed
118,119,37.980627,23.735092,25.9723,0.0599,-0.1278,33.8, Car,347.36,1.593008
119,120,37.980648,23.735114,30.3703,0.05,0.0218,34.0, Car,332.18,22.56318
120,121,37.977625,23.737403,5.454,0.144,-0.0,34.2, Car,109.56,16.0333
121,122,37.980046,23.736915,23.093,0.1134,0.1107,35.0, Car,39.34,12.003092
122,123,37.980591,23.735035,39.0153,0.0621,0.2362,35.4, Car,236.57,8.399053
123,124,37.978388,23.737853,26.5918,-0.0185,0.2641,35.4, Car,206.17,32.553122
124,125,37.978403,23.735557,26.1983,0.0262,-0.0452,36.2, Car,212.07,4.013894
125,126,37.980608,23.735061,31.4813,0.0146,0.0613,37.2, Taxi,483.24,23.636685
126,127,37.980638,23.735114,34.6533,0.0181,-0.0066,37.2, Car,498.84,34.802491
127,128,37.98059,23.735031,33.5682,0.0182,-0.0399,37.4, Taxi,108.46,20.127502
128,129,37.980046,23.736907,18.3878,-0.0049,0.1321,38.2, Car,284.79,2.024552
129,130,37.980598,23.735072,31.625,0.0346,0.1132,38.6, Car,483.11,23.005001
130,131,37.980591,23.735039,32.6122,0.0422,-0.1354,39.2, Taxi,233.66,27.48905
131,132,37.980618,23.735096,36.1016,0.0513,-0.0437,39.8, Car,483.28,19.417664
132,133,37.977631,23.737403,5.2181,0.0503,-0.011,40.0, Car,36.86,8.191375
133,134,37.978408,23.73553,24.8128,0.0258,-0.1075,40.2, Heavy Vehicle,360.54,15.127475
134,135,37.980042,23.736899,16.0195,-0.0173,-0.1897,40.6, Car,37.69,15.07445
135,136,37.980621,23.735093,36.3107,0.0181,-0.0503,41.4, Car,482.51,38.94721
136,137,37.978402,23.735552,30.6322,0.0134,-0.184,41.8, Motorcycle,253.1,18.150943
137,138,37.978414,23.735531,21.0402,-0.0054,0.0614,41.8, Car,358.27,16.706995
138,139,37.980584,23.735045,31.4871,0.007,-0.0462,41.8, Taxi,233.46,16.479291
139,140,37.980632,23.735115,44.6568,0.0459,-0.0634,42.4, Motorcycle,494.53,25.432973
140,141,37.978404,23.735536,23.2352,0.0314,-0.1302,42.6, Motorcycle,315.2,15.848026
141,142,37.980595,23.735069,44.0086,0.0425,0.1701,43.2, Car,231.84,28.583531
142,143,37.978425,23.735534,21.5207,0.0446,-0.055,44.0, Taxi,322.91,16.145688
143,144,37.980617,23.735131,45.8316,0.025,0.0076,44.4, Taxi,479.97,22.85573
144,145,37.977629,23.737404,13.9871,0.0038,0.0698,45.4, Car,108.65,23.008078
145,146,37.980621,23.735093,32.0355,0.0149,0.0787,45.4, Bus,486.71,14.601304
146,147,37.978406,23.735551,18.93,-0.0097,-0.0852,45.4, Car,361.47,14.821003
147,148,37.978421,23.735542,21.3362,0.0405,-0.0773,47.0, Car,349.35,19.171578
148,149,37.977627,23.737405,7.4152,-0.0188,0.2656,49.0, Car,110.43,24.847595
149,150,37.97841,23.735536,21.6254,0.0311,0.0787,50.0, Medium Vehicle,347.51,11.498532
150,151,37.9784,23.735532,24.1311,0.1052,0.0317,51.0, Motorcycle,358.71,20.432846
151,152,37.980577,23.735024,20.6877,-0.0226,0.0095,52.4, Motorcycle,481.44,16.137728
152,153,37.977622,23.737397,7.7703,-0.1339,0.4284,52.4, Taxi,111.52,25.09105
153,154,37.978422,23.735533,20.0331,0.0806,0.001,53.2, Car,348.85,10.845187
154,155,37.97841,23.735528,14.0901,-0.0413,-0.2053,54.8, Car,357.73,17.886421
155,156,37.978406,23.73553,15.2511,0.0089,-0.0542,57.4, Taxi,349.17,11.084893
156,157,37.978405,23.735534,12.5946,-0.0205,0.0042,60.2, Car,354.48,11.926515
157,158,37.978542,23.738231,19.5601,-0.1351,-0.6413,61.4, Motorcycle,250.92,18.435099
158,159,37.978406,23.735522,14.1624,-0.0169,-0.0626,63.0, Car,351.26,11.310698
159,160,37.980575,23.735053,31.167,0.1114,0.0532,71.4, Car,234.85,14.330118
160,161,37.980607,23.7351,44.77,0.0808,0.1479,72.8, Motorcycle,478.14,40.59664
161,162,37.980594,23.735072,38.2782,0.0828,0.0117,73.2, Car,480.27,35.722495
162,163,37.980574,23.735055,35.3643,0.0268,0.0364,75.0, Taxi,235.03,13.220288
163,164,37.980609,23.7351,25.9281,0.042,0.0298,75.2, Taxi,480.79,19.062308
164,165,37.980609,23.735137,35.2885,-0.103,0.0188,76.2, Car,480.46,31.795231
165,166,37.980622,23.735136,39.2757,0.0954,0.0777,77.0, Car,54.43,23.898108
166,167,37.980591,23.735075,30.7035,-0.0237,0.2304,77.2, Car,480.26,34.033826
167,168,37.980577,23.735053,33.4089,-0.0237,0.1685,77.4, Car,480.54,29.929526
168,169,37.978446,23.737976,24.2035,0.1116,-0.0109,77.4, Car,227.73,22.277888
169,170,37.977606,23.737431,6.9323,0.0135,0.0233,78.4, Motorcycle,103.13,15.091528
170,171,37.980614,23.735117,41.7124,0.0772,-0.0227,78.8, Motorcycle,383.78,28.311304
171,172,37.980597,23.735091,30.4542,-0.022,-0.1098,78.8, Car,481.73,34.82386
172,173,37.980516,23.734938,26.1298,-0.0077,0.017,80.4, Taxi,72.2,3.777659
173,174,37.980579,23.735053,26.4122,0.021,-0.0901,81.6, Bus,480.2,14.334387
174,175,37.980586,23.735094,49.4153,0.0756,-0.1384,82.0, Motorcycle,478.49,40.436057
175,176,37.980607,23.735112,32.3777,-0.0193,-0.0177,82.4, Heavy Vehicle,479.19,18.430534
176,177,37.980025,23.736873,21.0699,-0.0739,-0.1017,82.8, Car,197.71,14.011236
177,178,37.980617,23.735126,56.7645,-0.0091,-0.0937,83.0, Motorcycle,394.05,40.300326
178,179,37.980596,23.73508,47.392,0.005,0.0895,83.0, Car,480.32,36.947951
179,180,37.980619,23.735138,38.8799,0.0412,-0.0293,83.8, Car,480.62,35.748661
