track_id,lat,lon,speed,lon_acc,lat_acc,time
318,37.978403,23.735528,20.6599,0.0038,-0.1038,237.8
319,37.978401,23.735535,21.7277,0.0353,0.0128,239.4
320,37.978416,23.735527,18.373,0.0938,0.0058,241.2
321,37.978427,23.737942,10.6831,-0.0117,0.0466,241.8
322,37.978404,23.735534,18.0718,0.0166,-0.0372,242.6
323,37.978407,23.735525,18.3451,0.0592,0.006,244.6
324,37.98061,23.735058,40.7512,0.1323,0.0667,249.0
325,37.977138,23.737771,10.2834,0.0132,-0.2398,249.4
326,37.978416,23.735517,19.6327,-0.136,-0.0045,250.2
327,37.98063,23.735092,42.1177,0.1012,-0.2059,250.4
328,37.980635,23.735108,33.5111,0.0572,0.0665,252.0
329,37.980607,23.73506,29.9251,0.0318,-0.0867,252.2
330,37.980621,23.735087,38.1615,0.1579,-0.0282,253.0
331,37.978418,23.735545,30.8961,0.0003,0.0022,253.0
332,37.977614,23.737386,7.4842,0.036,0.1609,253.2
333,37.980604,23.735058,33.6292,0.0048,0.2751,254.2
334,37.980643,23.735108,37.9558,0.1369,0.0147,254.2
335,37.98007,23.736994,7.384,-0.0179,-0.0508,254.8
336,37.980609,23.735054,32.9486,0.0014,0.0457,256.6
337,37.980575,23.735004,39.4989,0.0583,-0.1812,257.6
338,37.980642,23.735112,33.1414,0.0624,-0.0921,258.0
339,37.980622,23.735092,52.195,-0.0163,-0.1441,258.0
340,37.98064,23.735089,42.4052,0.0399,-0.2342,259.2
341,37.980609,23.735059,32.7018,-0.0286,-0.0322,259.4
342,37.977639,23.737411,17.338,0.0376,0.3356,259.4
343,37.980592,23.735025,21.8983,-0.0015,-0.0104,260.0
344,37.980632,23.735083,33.2901,-0.0557,0.2406,261.0
345,37.98061,23.735056,33.0884,-0.0296,0.023,261.0
346,37.980601,23.735023,21.4819,0.026,-0.0507,263.0
347,37.980621,23.735053,41.5285,0.09,-0.0798,263.0
348,37.98006,23.736936,17.9071,0.0153,-0.0238,263.2
349,37.980657,23.735103,34.66,0.0351,0.1833,263.6
350,37.980617,23.73503,33.6403,0.0283,-0.0094,264.6
351,37.980627,23.735052,39.7579,-0.0336,-0.1578,264.6
352,37.980645,23.735084,39.8638,0.0176,0.0297,265.2
353,37.980644,23.735083,40.1646,0.0478,-0.0106,266.6
354,37.977629,23.737402,7.4211,-0.3753,0.5547,267.2
355,37.980625,23.73505,36.8975,-0.004,-0.0749,267.8
356,37.980055,23.736936,14.2699,-0.0273,0.1456,268.0
357,37.980649,23.735063,41.5093,0.0462,-0.0684,268.8
358,37.980602,23.73501,40.1879,0.0437,-0.0592,269.6
359,37.980063,23.736945,18.3095,-0.1097,0.2297,273.2
360,37.978403,23.735522,20.0488,0.262,-0.388,285.8
361,37.977614,23.737384,9.2297,0.2447,0.0,286.2
362,37.978402,23.735522,21.1783,0.0353,0.1153,288.0
363,37.97841,23.735526,28.4788,0.0263,0.06,292.8
364,37.980653,23.735102,33.1787,0.0368,0.0188,296.2
365,37.980624,23.735054,39.4591,0.0555,0.0782,296.4
366,37.980639,23.735075,26.8637,0.0021,-0.0208,296.8
367,37.980614,23.73504,30.6263,0.0566,-0.0688,297.6
368,37.980657,23.735105,32.5142,0.0725,-0.1852,298.0
369,37.980062,23.736963,10.7088,-0.0194,-0.0536,298.2
370,37.980623,23.735057,34.1007,-0.0462,0.1087,298.4
371,37.980633,23.735076,27.9523,0.0533,-0.0795,299.4
372,37.980647,23.735108,33.5312,0.0337,-0.044,300.6
373,37.980615,23.735057,43.6215,0.0384,-0.0772,300.8
374,37.980603,23.735022,26.0619,0.0216,-0.1613,301.6
375,37.980633,23.735083,27.5647,-0.0124,-0.0752,301.8
376,37.978407,23.735525,32.609,0.0843,-0.0646,302.6
377,37.98007,23.736987,14.9085,-0.7265,-0.3489,302.8
